Long,Lat,STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,HOURS,WKS_OPEN,YR_SUB,LONGITUD,LATITUDE,LOCALE,REAPLOCALE,Data_Year,FID_L0USA_Counties_Generalized,GlobalID
-81.80035899999996,24.55758000000003,FL,FL0048,2,FL0048-002,MAY HILL RUSSELL LIBRARY,700 FLEMING STREET,KEY WEST,33040,6828,MONROE,3052923595.0,CE,19089,2732,52,2017,-81.800359,24.55758,33,6,2017,-1,{d1f91e97-e600-4f7f-bf5e-b41f1b5fda2b}
-81.35749499999997,24.671762000000058,FL,FL0048,7,FL0048-007,BIG PINE KEY BRANCH,213 KEY DEER BLVD.,BIG PINE KEY,33043,4905,MONROE,3058720992.0,BR,3600,2732,52,2017,-81.357495,24.671762,33,6,2017,-1,{8c823a63-a956-4e54-857e-f6bf34721273}
-81.09509699999995,24.711001000000067,FL,FL0048,4,FL0048-004,GEORGE DOLEZAL BRANCH,3251 OVERSEAS HIGHWAY,MARATHON,33050,2344,MONROE,3057435156.0,BR,7028,2732,52,2017,-81.095097,24.711001,33,6,2017,-1,{e47e0b2c-dedb-47b8-a880-fe82da7c92ea}
-80.55766499999999,24.971435000000042,FL,FL0048,5,FL0048-005,HELEN WADLEY BRANCH,MILE MARKER 81.5,ISLAMORADA,33036,M,MONROE,3056644645.0,BR,6696,2732,52,2017,-80.557665,24.971435,32,6,2017,-1,{94a6dbb4-e8da-491b-b84f-260001c0c571}
-80.42189099999996,25.114246000000037,FL,FL0048,3,FL0048-003,KEY LARGO BRANCH,101485 OVERSEAS HWY.,KEY LARGO,33037,4553,MONROE,3054512396.0,BR,12077,2732,52,2017,-80.421891,25.114246,32,6,2017,114,{00a18258-4303-4efb-805f-5b96cecb7eca}
-80.46676699999995,25.474803000000065,FL,FL0025,18,FL0025-018,HOMESTEAD BRANCH LIBRARY,700 NORTH HOMESTEAD BLVD.,HOMESTEAD,33030,6212,MIAMI-DADE,3052460168.0,BR,16000,-1,52,2017,-80.466767,25.474803,21,3,2017,2939,{dd0f6052-db3f-4d74-bfc7-6c485cc37a2b}
-80.43137899999994,25.50674900000007,FL,FL0025,41,FL0025-041,NARANJA BRANCH LIBRARY,14850 SW 280 ST,HOMESTEAD,33032,8113,MIAMI-DADE,3052422290.0,BR,15000,-1,52,2017,-80.431379,25.506749,21,3,2017,2939,{34c7a177-301a-4bbd-993a-c0158d8db49d}
-80.36542499999996,25.572137000000055,FL,FL0025,26,FL0025-026,SOUTH DADE REGIONAL LIBRARY,10750 SW 211 STREET,MIAMI,33189,2809,MIAMI-DADE,3052338140.0,BR,51800,-1,52,2017,-80.365425,25.572137,21,3,2017,2939,{d80e0ed5-36a8-4c53-a8c2-09f41c8779f7}
-80.31150199999996,25.607192000000055,FL,FL0025,54,FL0025-054,PALMETTO BAY BRANCH,17641 OLD CUTLER ROAD,MIAMI,33157,6327,MIAMI-DADE,3052321771.0,BR,5000,-1,52,2017,-80.311502,25.607192,21,3,2017,2939,{61d49f22-d404-4a52-b1b1-f754b388b8e5}
-80.41438999999997,25.624478000000067,FL,FL0025,38,FL0025-038,COUNTRY WALK BRANCH LIBRARY,15433 S.W. 137 AVENUE,MIAMI,33177,1279,MIAMI-DADE,7862934577.0,BR,1103,-1,52,2017,-80.41439,25.624478,21,3,2017,2939,{cb923b64-c00f-485c-b6eb-bf15d2ffe4ff}
