Long,Lat,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCE_DATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHERS,SHELTER_ID
-81.46792351199997,28.518985721000035,120000207976,FLORIDA VIRTUAL ELEMENTARY SCHOOL,2145 METROCENTER BLVD STE 100,ORLANDO,FL,32835,7642,(800) 374-1430,1,1,2725,ORANGE,12095,USA,28.5189857,-81.4679235,611110,ELEMENTARY AND SECONDARY SCHOOLS,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?schoolid=120000207976,2024-01-31 00:00:00,IMAGERY/OTHER,2020-03-23 00:00:00,http://www.flvsft.com,ELEMENTARY,2600,KG,05,1200002,125,NOT AVAILABLE
-81.46779047199999,28.51913706700003,120000207982,FLORIDA VIRTUAL HIGH SCHOOL,2145 METROCENTER BLVD STE 200,ORLANDO,FL,32835,7642,(800) 374-1430,1,1,3704,ORANGE,12095,USA,28.5191371,-81.4677905,611110,ELEMENTARY AND SECONDARY SCHOOLS,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?schoolid=120000207982,2024-01-31 00:00:00,IMAGERY/OTHER,2014-05-19 00:00:00,http://www.flvsft.com,HIGH,3572,09,12,1200002,132,NOT AVAILABLE
-81.46789482099996,28.519003526000063,120000208677,FLORIDA VIRTUAL MIDDLE SCHOOL,2145 METRO CENTER BLVD STE 100,ORLANDO,FL,32835,7642,(800) 374-1430,1,1,2484,ORANGE,12095,USA,28.5190035,-81.4678948,611110,ELEMENTARY AND SECONDARY SCHOOLS,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?schoolid=120000208677,2024-01-31 00:00:00,IMAGERY/OTHER,2022-05-12 00:00:00,http://www.flvsft.com,MIDDLE,2387,06,08,1200002,97,NOT AVAILABLE
-82.34828580999994,29.656574540000065,120003000002,CAROLYN BEATRICE PARKER ELEMENTARY,1912 NW 5TH AVE,GAINESVILLE,FL,32603,1517,(352) 955-6705,1,1,535,ALACHUA,12001,USA,29.6565745,-82.3482858,611110,ELEMENTARY AND SECONDARY SCHOOLS,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?schoolid=120003000002,2024-01-31 00:00:00,IMAGERY/OTHER,2016-03-08 00:00:00,http://www.sbac.edu/finley,ELEMENTARY,506,KG,05,1200030,29,NOT AVAILABLE
-82.33209562699994,29.687885572000027,120003000003,STEPHEN FOSTER ELEMENTARY SCHOOL,3800 NW 6TH ST,GAINESVILLE,FL,32609,2243,(352) 955-6706,1,1,487,ALACHUA,12001,USA,29.6878856,-82.3320956,611110,ELEMENTARY AND SECONDARY SCHOOLS,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?schoolid=120003000003,2024-01-31 00:00:00,IMAGERY,2016-03-08 00:00:00,http://www.sbac.edu/foster,ELEMENTARY,458,KG,05,1200030,29,10793423
-82.33604736299998,29.657951216000072,120003000004,A.QUINN JONES CENTER,1108 NW 7TH AVE,GAINESVILLE,FL,32601,4949,(352) 955-6840,4,1,78,ALACHUA,12001,USA,29.6579512,-82.3360474,611110,ELEMENTARY AND SECONDARY SCHOOLS,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?schoolid=120003000004,2024-01-31 00:00:00,IMAGERY,2010-05-31 00:00:00,http://www.sbac.edu/aqjones,HIGH,64,06,12,1200030,14,NOT AVAILABLE
-82.27155467199998,29.64767826900004,120003000005,LAKE FOREST ELEMENTARY SCHOOL,4401 SE 4TH AVE,GAINESVILLE,FL,32641,7612,(352) 955-6710,1,1,351,ALACHUA,12001,USA,29.6476783,-82.2715547,611110,ELEMENTARY AND SECONDARY SCHOOLS,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?schoolid=120003000005,2024-01-31 00:00:00,IMAGERY,2016-03-08 00:00:00,http://www.sbac.edu/lakeforest,ELEMENTARY,330,PK,05,1200030,21,10793415
-82.32752263399999,29.66767896700003,120003000006,SIDNEY LANIER CENTER,312 NW 16TH AVE,GAINESVILLE,FL,32601,4205,(352) 955-6841,4,1,168,ALACHUA,12001,USA,29.667679,-82.3275226,611110,ELEMENTARY AND SECONDARY SCHOOLS,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?schoolid=120003000006,2024-01-31 00:00:00,IMAGERY/OTHER,2016-03-08 00:00:00,http://www.sbac.edu/lanier,OTHER,149,KG,12,1200030,19,NOT AVAILABLE
-82.37373013899997,29.660279453000044,120003000007,LITTLEWOOD ELEMENTARY SCHOOL,812 NW 34TH ST,GAINESVILLE,FL,32605,5027,(352) 955-6712,1,1,753,ALACHUA,12001,USA,29.6602795,-82.3737301,611110,ELEMENTARY AND SECONDARY SCHOOLS,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?schoolid=120003000007,2024-01-31 00:00:00,IMAGERY/OTHER,2016-03-08 00:00:00,http://www.sbac.edu/littlewood,ELEMENTARY,706,PK,05,1200030,47,10793417
-82.30945232299996,29.669256634000078,120003000008,W. A. METCALFE ELEMENTARY SCHOOL,1250 NE 18TH AVE,GAINESVILLE,FL,32609,3893,(352) 955-6713,1,1,504,ALACHUA,12001,USA,29.6692566,-82.3094523,611110,ELEMENTARY AND SECONDARY SCHOOLS,https://nces.ed.gov/ccd/schoolsearch/school_list.asp?schoolid=120003000008,2024-01-31 00:00:00,IMAGERY/OTHER,2016-03-08 00:00:00,http://www.sbac.edu/metcalfe,ELEMENTARY,478,PK,05,1200030,26,NOT AVAILABLE
